seq,rtt_ms,status,timestamp
0,57.048,OK,1770975800.851179
1,56.105,OK,1770975800.911205
2,57.546,OK,1770975800.971151
3,57.567,OK,1770975801.030929
4,58.099,OK,1770975801.090894
5,58.323,OK,1770975801.151234
6,57.780,OK,1770975801.211231
7,57.732,OK,1770975801.271217
8,58.819,OK,1770975801.332114
9,56.890,OK,1770975801.391223
10,58.804,OK,1770975801.452247
11,57.720,OK,1770975801.512212
12,57.642,OK,1770975801.572088
13,57.606,OK,1770975801.632184
14,78.400,OK,1770975801.712929
15,54.843,OK,1770975801.770935
16,59.217,OK,1770975801.832136
17,57.854,OK,1770975801.892219
18,57.820,OK,1770975801.952221
19,57.876,OK,1770975802.012186
20,57.761,OK,1770975802.072157
21,56.930,OK,1770975802.131214
22,58.784,OK,1770975802.192182
23,57.760,OK,1770975802.251963
24,58.266,OK,1770975802.312041
25,57.959,OK,1770975802.372068
26,50.269,OK,1770975802.424477
27,64.492,OK,1770975802.491234
28,56.612,OK,1770975802.551222
29,57.598,OK,1770975802.611169
30,57.679,OK,1770975802.670993
31,58.105,OK,1770975802.731190
32,57.869,OK,1770975802.791213
33,57.567,OK,1770975802.851067
34,58.251,OK,1770975802.911069
35,58.163,OK,1770975802.971288
36,57.744,OK,1770975803.031167
37,63.770,OK,1770975803.097243
38,70.663,OK,1770975803.171204
39,56.358,OK,1770975803.231172
40,57.959,OK,1770975803.291223
41,57.662,OK,1770975803.351204
42,58.661,OK,1770975803.411942
43,56.842,OK,1770975803.470882
44,59.040,OK,1770975803.532341
45,56.543,OK,1770975803.591237
46,59.668,OK,1770975803.653219
47,55.624,OK,1770975803.710999
48,58.239,OK,1770975803.771203
49,57.855,OK,1770975803.831223
50,58.798,OK,1770975803.892217
51,56.778,OK,1770975803.951268
52,57.500,OK,1770975804.010893
53,58.468,OK,1770975804.071253
54,57.804,OK,1770975804.131327
55,58.474,OK,1770975804.192262
56,57.819,OK,1770975804.252276
57,57.656,OK,1770975804.312222
58,57.916,OK,1770975804.372255
59,57.750,OK,1770975804.432196
60,56.607,OK,1770975804.491221
61,57.730,OK,1770975804.551348
62,57.530,OK,1770975804.611093
63,65.181,OK,1770975804.678094
64,69.906,OK,1770975804.751261
65,63.555,OK,1770975804.818380
66,75.893,OK,1770975804.897583
67,69.134,OK,1770975804.970349
68,58.267,OK,1770975805.032211
69,57.036,OK,1770975805.091413
70,57.313,OK,1770975805.151100
71,58.113,OK,1770975805.210930
