frame,latency_ms,jitter_ms,size_bytes,timestamp_unix
0,-1618.2451,1618.2451,39780,1770974030.02
1,-1473.6617,144.5835,39905,1770974030.195
2,-1417.6977,55.9640,40033,1770974030.287
3,-1427.5262,9.8286,39961,1770974030.309
4,-1361.3179,66.2084,39916,1770974030.407
5,-1383.3618,22.0439,40017,1770974030.421
6,-1363.3792,19.9826,39889,1770974030.473
7,-1349.7579,13.6213,39952,1770974030.519
8,-1374.4001,24.6422,40014,1770974030.53
9,-1396.3494,21.9493,40021,1770974030.54
10,-1363.3740,32.9754,39973,1770974030.605
11,-1374.7797,11.4057,39966,1770974030.63
12,-1389.4095,14.6298,40086,1770974030.647
13,-1401.2988,11.8892,39954,1770974030.667
14,-1427.3741,26.0754,40066,1770974030.677
15,-1445.8208,18.4467,40022,1770974030.691
16,-1402.3113,43.5095,39906,1770974030.766
17,-1384.2959,18.0154,40014,1770974030.82
18,-1398.3245,14.0285,39990,1770974030.838
19,-1421.9222,23.5977,39973,1770974030.847
20,-1447.3290,25.4068,39974,1770974030.857
21,-1469.3539,22.0249,39997,1770974030.867
22,-1491.3688,22.0149,39926,1770974030.877
23,-1516.3131,24.9443,39953,1770974030.888
24,-1518.3592,2.0461,39902,1770974030.918
25,-1537.6618,19.3026,39978,1770974030.935
26,-1539.3364,1.6747,39946,1770974030.965
27,-1547.3320,7.9956,39890,1770974030.989
28,-1543.3552,3.9768,39922,1770974031.029
29,-1567.3785,24.0233,39966,1770974031.037
30,-1570.2755,2.8970,39902,1770974031.066
31,-1586.3335,16.0580,39934,1770974031.086
32,-1608.3167,21.9831,39954,1770974031.096
33,-1616.2934,7.9768,40002,1770974031.12
34,-1644.3262,28.0328,39918,1770974031.128
35,-1664.6795,20.3533,40014,1770974031.14
36,-1678.2799,13.6003,39974,1770974031.158
37,-1705.3268,27.0469,39954,1770974031.167
38,-1726.3610,21.0342,39905,1770974031.178
39,-1747.2997,20.9386,40030,1770974031.189
40,-1767.5974,20.2978,39986,1770974031.205
41,-1796.3712,28.7738,39970,1770974031.208
42,-1816.2718,19.9006,39950,1770974031.22
43,-1836.3595,20.0877,39966,1770974031.236
44,-1859.3211,22.9616,39957,1770974031.245
45,-1867.7347,8.4136,39970,1770974031.269
46,-1865.4740,2.2607,39953,1770974031.307
47,-1835.4516,30.0224,39942,1770974031.369
48,-1855.2527,19.8011,39990,1770974031.381
49,-1831.3155,23.9372,39966,1770974031.441
50,-1826.3383,4.9772,39954,1770974031.478
51,-1849.7431,23.4048,39993,1770974031.487
52,-1866.6716,16.9284,39998,1770974031.506
53,-1879.6833,13.0117,39990,1770974031.525
54,-1874.3229,5.3604,39914,1770974031.566
55,-1864.3410,9.9819,39961,1770974031.608
56,-1860.3356,4.0054,39970,1770974031.644
57,-1852.8814,7.4542,39922,1770974031.688
58,-1872.3288,19.4473,39958,1770974031.7
59,-1859.6687,12.6600,39966,1770974031.745
60,-1874.3808,14.7121,39898,1770974031.766
61,-1863.3902,10.9906,39958,1770974031.809
62,-1868.2663,4.8761,39974,1770974031.836
63,-1844.3108,23.9556,39966,1770974031.896
64,-1867.3859,23.0751,39826,1770974031.905
65,-1825.2614,42.1245,39986,1770974031.979
66,-1843.3714,18.1100,39950,1770974031.997
67,-1775.3456,68.0258,39922,1770974032.097
68,-1802.2971,26.9516,39929,1770974032.102
69,-1833.3540,31.0569,39961,1770974032.107
70,-1855.4032,22.0492,39978,1770974032.117
71,-1830.2748,25.1284,39890,1770974032.174
72,-1832.3946,2.1198,39986,1770974032.208
73,-1853.3566,20.9620,39998,1770974032.219
74,-1865.6766,12.3200,39922,1770974032.239
75,-1871.3856,5.7089,39918,1770974032.269
76,-1863.3268,8.0588,39906,1770974032.309
77,-1875.6659,12.3391,39985,1770974032.329
78,-1851.7549,23.9110,39842,1770974032.389
