frame,latency_ms,jitter_ms,size_bytes,timestamp_unix
0,-1817.6453,1817.6453,40976,1770973319.243
1,-1791.0922,26.5532,41204,1770973319.306
2,-1774.0207,17.0715,41564,1770973319.359
3,-1800.0922,26.0715,41600,1770973319.369
4,-1786.3035,13.7887,41732,1770973319.42
5,-1802.2583,15.9547,41912,1770973319.439
6,-1808.2719,6.0136,42127,1770973319.469
7,-1820.0712,11.7993,42192,1770973319.493
8,-1831.0342,10.9630,42367,1770973319.518
9,-1832.1042,1.0700,42544,1770973319.553
10,-1852.9391,20.8349,42689,1770973319.568
11,-1843.8296,9.1095,42713,1770973319.613
12,-1870.8324,27.0028,42829,1770973319.622
13,-1886.7016,15.8691,42961,1770973319.642
14,-1882.5710,4.1306,43124,1770973319.682
15,-1877.4369,5.1341,43328,1770973319.723
16,-1882.3195,4.8826,43393,1770973319.754
17,-1877.3105,5.0089,43545,1770973319.795
18,-1886.3406,9.0301,43749,1770973319.822
19,-1881.3057,5.0349,43861,1770973319.863
20,-1885.3395,4.0338,43873,1770973319.895
21,-1879.2570,6.0825,43912,1770973319.937
22,-1889.2565,9.9995,43929,1770973319.963
23,-1884.3634,4.8931,44037,1770973320.004
24,-1883.2693,1.0941,44081,1770973320.041
25,-1874.1941,9.0752,44024,1770973320.086
26,-1885.2792,11.0850,44069,1770973320.112
27,-1876.2720,9.0072,44080,1770973320.157
28,-1887.2898,11.0178,44101,1770973320.182
29,-1879.2880,8.0018,44084,1770973320.226
30,-1887.1596,7.8716,44017,1770973320.254
31,-1882.1230,5.0366,44120,1770973320.295
32,-1882.0224,0.1006,44017,1770973320.332
33,-1885.8552,3.8328,44032,1770973320.363
34,-1881.8500,4.0052,43997,1770973320.403
35,-1879.7824,2.0676,43993,1770973320.441
36,-1881.6378,1.8554,44025,1770973320.475
37,-1890.6236,8.9858,43969,1770973320.502
38,-1877.5482,13.0754,43861,1770973320.551
39,-1881.4778,3.9296,43993,1770973320.583
40,-1874.6655,6.8123,43937,1770973320.627
41,-1881.6602,6.9947,43969,1770973320.656
42,-1877.5961,4.0641,44045,1770973320.696
43,-1888.5987,11.0025,43957,1770973320.721
44,-1884.5589,4.0398,43969,1770973320.761
45,-1887.5115,2.9526,44021,1770973320.794
46,-1886.4055,1.1060,43993,1770973320.831
47,-1880.3790,6.0265,44037,1770973320.873
48,-1885.4525,5.0735,43949,1770973320.905
49,-1883.3632,2.0893,43937,1770973320.943
50,-1888.2563,4.8931,43989,1770973320.974
51,-1880.1665,8.0898,43857,1770973321.018
52,-1888.0672,7.9007,43789,1770973321.046
53,-1881.9516,6.1157,43817,1770973321.088
54,-1882.1323,0.1807,43873,1770973321.124
55,-1880.0552,2.0771,43981,1770973321.162
56,-1862.0090,18.0461,43973,1770973321.216
57,-1889.9496,27.9405,43917,1770973321.224
58,-1867.7976,22.1519,43901,1770973321.282
59,-1880.7116,12.9139,43985,1770973321.305
60,-1867.6288,13.0827,43968,1770973321.354
61,-1871.5081,3.8793,43940,1770973321.386
62,-1872.5393,1.0312,44037,1770973321.421
63,-1874.5158,1.9765,43997,1770973321.455
64,-1887.3928,12.8770,44001,1770973321.478
65,-1886.4019,0.9909,44008,1770973321.515
66,-1885.3130,1.0889,44068,1770973321.552
67,-1884.2487,1.0643,43981,1770973321.589
68,-1885.1295,0.8807,44077,1770973321.625
69,-1879.9987,5.1308,44089,1770973321.666
70,-1879.8876,0.1111,44033,1770973321.702
71,-1878.7885,1.0991,43961,1770973321.739
72,-1891.7735,12.9850,44005,1770973321.762
73,-1881.9091,9.8643,43929,1770973321.808
74,-1887.8706,5.9614,43925,1770973321.838
75,-1877.8498,10.0207,43941,1770973321.884
76,-1882.9234,5.0735,44033,1770973321.916
77,-1880.9834,1.9400,43997,1770973321.954
78,-1892.9842,12.0008,43924,1770973321.978
79,-1884.0001,8.9841,44017,1770973322.023
80,-1878.0189,5.9812,44024,1770973322.065
81,-1883.0290,5.0101,44068,1770973322.096
82,-1873.1217,9.9072,44097,1770973322.142
83,-1887.0184,13.8967,43989,1770973322.164
84,-1881.0487,5.9698,43993,1770973322.206
85,-1877.9814,3.0673,43953,1770973322.245
86,-1873.8451,4.1363,43933,1770973322.285
87,-1873.0545,0.7906,43901,1770973322.322
88,-1886.8454,13.7908,43869,1770973322.343
89,-1878.7758,8.0695,44004,1770973322.387
90,-1888.7653,9.9895,43945,1770973322.413
91,-1881.8076,6.9578,43873,1770973322.456
92,-1888.8707,7.0632,43893,1770973322.485
93,-1884.8197,4.0510,44021,1770973322.525
94,-1879.7336,5.0862,44097,1770973322.566
95,-1873.8604,5.8732,44017,1770973322.608
96,-1879.9572,6.0968,44065,1770973322.638
97,-1876.9665,2.9907,44041,1770973322.677
98,-1876.9283,0.0381,44001,1770973322.713
99,-1888.0370,11.1086,44008,1770973322.738
100,-1892.0238,3.9868,44026,1770973322.77
101,-1876.9460,15.0778,43897,1770973322.821
102,-1879.9684,3.0224,44066,1770973322.854
103,-1884.8808,4.9124,43974,1770973322.885
104,-1887.8498,2.9690,44014,1770973322.919
105,-1884.7737,3.0761,43994,1770973322.958
106,-1883.7290,1.0448,44018,1770973322.995
107,-1874.8100,8.9190,44108,1770973323.04
108,-1890.7230,15.9130,43949,1770973323.06
109,-1890.6004,0.1225,44022,1770973323.096
110,-1887.5790,3.0215,44065,1770973323.135
111,-1882.8964,4.6825,44022,1770973323.176
112,-1881.0005,1.8959,44062,1770973323.215
113,-1884.9154,3.9148,43998,1770973323.247
114,-1883.7841,1.1313,43997,1770973323.284
115,-1886.7388,2.9547,43910,1770973323.319
116,-1881.1636,5.5752,44010,1770973323.36
117,-1871.1641,9.9995,43869,1770973323.406
118,-1893.1215,21.9574,44062,1770973323.42
119,-1875.0212,18.1003,44002,1770973323.474
120,-1875.9384,0.9172,43974,1770973323.509
121,-1865.9031,10.0353,44046,1770973323.555
122,-1890.8105,24.9074,43918,1770973323.566
123,-1885.7515,5.0590,43906,1770973323.607
124,-1892.7681,7.0167,44049,1770973323.636
125,-1882.6413,10.1268,44006,1770973323.682
126,-1882.5822,0.0591,44050,1770973323.718
127,-1880.4288,2.1534,43946,1770973323.756
128,-1885.3278,4.8990,43886,1770973323.787
129,-1887.2988,1.9710,43905,1770973323.821
130,-1883.2366,4.0622,43950,1770973323.861
131,-1885.1535,1.9169,44034,1770973323.895
132,-1875.2241,9.9294,43941,1770973323.941
133,-1865.2258,9.9983,43978,1770973323.987
134,-1863.1403,2.0854,43974,1770973324.025
135,-1878.1703,15.0299,43846,1770973324.046
136,-1877.1112,1.0591,44006,1770973324.083
137,-1883.9881,6.8769,43946,1770973324.112
138,-1880.9710,3.0172,44017,1770973324.151
139,-1877.2898,3.6812,43962,1770973324.191
140,-1868.7253,8.5645,43994,1770973324.236
141,-1873.6575,4.9322,43894,1770973324.267
142,-1878.5417,4.8842,43970,1770973324.298
143,-1864.9328,13.6089,43994,1770973324.348
144,-1870.7628,5.8300,44145,1770973324.377
145,-1886.7126,15.9497,44010,1770973324.397
146,-1877.6963,9.0163,44038,1770973324.442
147,-1866.5776,11.1187,43950,1770973324.489
148,-1884.4664,17.8888,43938,1770973324.507
149,-1884.4686,0.0021,43950,1770973324.543
150,-1875.4506,9.0179,43994,1770973324.588
151,-1879.3695,3.9189,44042,1770973324.62
152,-1877.3520,2.0175,44177,1770973324.658
153,-1877.2964,0.0556,43994,1770973324.694
154,-1885.1340,7.8375,43974,1770973324.722
155,-1883.0559,2.0781,43973,1770973324.76
156,-1861.9170,21.1389,43961,1770973324.817
157,-1888.8350,26.9179,44033,1770973324.826
158,-1886.0695,2.7654,44046,1770973324.865
159,-1891.0224,4.9529,44034,1770973324.896
160,-1888.0002,3.0222,43962,1770973324.936
161,-1879.9078,8.0924,44078,1770973324.98
162,-1878.8307,1.0772,44078,1770973325.017
163,-1874.8057,4.0250,44002,1770973325.057
164,-1887.7308,12.9251,43990,1770973325.08
165,-1883.6975,4.0333,43954,1770973325.12
166,-1889.7440,6.0465,44090,1770973325.15
167,-1877.7061,12.0380,44053,1770973325.198
168,-1872.6780,5.0280,43954,1770973325.239
169,-1884.6402,11.9622,43798,1770973325.263
170,-1878.0169,6.6233,44005,1770973325.306
171,-1880.9428,2.9259,44014,1770973325.338
172,-1875.8986,5.0442,43854,1770973325.379
173,-1870.7621,5.1365,43982,1770973325.42
174,-1883.7056,12.9435,44062,1770973325.443
175,-1884.6698,0.9642,43938,1770973325.478
176,-1880.5921,4.0777,43949,1770973325.518
177,-1871.5563,9.0358,44026,1770973325.563
178,-1879.4868,7.9305,44038,1770973325.591
179,-1883.5163,4.0295,44086,1770973325.623
180,-1876.5113,7.0050,44086,1770973325.667
181,-1870.7378,5.7735,44013,1770973325.709
182,-1881.6924,10.9546,44014,1770973325.734
183,-1872.5379,9.1546,44025,1770973325.779
184,-1885.8423,13.3045,43994,1770973325.802
185,-1876.8947,8.9476,44026,1770973325.847
186,-1881.3043,4.4096,43982,1770973325.879
187,-1876.9526,4.3516,44094,1770973325.92
188,-1872.9024,4.0503,43982,1770973325.96
189,-1868.8271,4.0753,44145,1770973326
190,-1889.7307,20.9036,44130,1770973326.015
191,-1886.6494,3.0813,44102,1770973326.054
192,-1878.5496,8.0998,44042,1770973326.098
193,-1884.4817,5.9321,44038,1770973326.128
194,-1884.6867,0.2050,43962,1770973326.164
195,-1885.5929,0.9062,43994,1770973326.199
196,-1875.4904,10.1025,44082,1770973326.245
197,-1873.3845,2.1060,44094,1770973326.283
198,-1870.3454,3.0391,44002,1770973326.322
199,-1889.2756,18.9302,44002,1770973326.338
200,-1881.1212,8.1544,44030,1770973326.382
201,-1880.0445,1.0767,44134,1770973326.419
202,-1872.0953,7.9491,44134,1770973326.463
203,-1876.0405,3.9451,44014,1770973326.495
204,-1862.9243,13.1161,43978,1770973326.544
205,-1879.8094,16.8850,44066,1770973326.564
206,-1878.6681,1.1413,43934,1770973326.601
207,-1875.5164,3.1517,43938,1770973326.64
208,-1871.4614,4.0550,44010,1770973326.681
209,-1885.4861,14.0247,43994,1770973326.703
210,-1882.4704,3.0158,43990,1770973326.742
211,-1884.3389,1.8685,44074,1770973326.776
212,-1867.2087,17.1301,44082,1770973326.829
213,-1886.1153,18.9066,43982,1770973326.846
214,-1884.9688,1.1466,43954,1770973326.883
215,-1880.8243,4.1444,44042,1770973326.923
216,-1885.7670,4.9427,43969,1770973326.954
217,-1880.6570,5.1100,44114,1770973326.995
218,-1888.5891,7.9322,43974,1770973327.023
219,-1885.6430,2.9461,44037,1770973327.062
220,-1876.5352,9.1078,44030,1770973327.107
221,-1868.4056,8.1296,44006,1770973327.151
222,-1877.4509,9.0454,44022,1770973327.179
223,-1863.4236,14.0274,44070,1770973327.229
224,-1878.3865,14.9629,43962,1770973327.25
225,-1881.3658,2.9793,43970,1770973327.283
226,-1885.8776,4.5118,43962,1770973327.315
227,-1874.7733,11.1043,44014,1770973327.361
228,-1889.7655,14.9922,44078,1770973327.382
229,-1879.6844,10.0811,43958,1770973327.428
230,-1882.7214,3.0370,43966,1770973327.461
231,-1877.5814,5.1401,43910,1770973327.502
232,-1874.4519,3.1295,44042,1770973327.541
233,-1870.4753,3.9766,43938,1770973327.581
234,-1875.3705,4.8952,43998,1770973327.612
235,-1882.5338,7.1633,44014,1770973327.641
236,-1878.5310,4.0028,44073,1770973327.681
237,-1882.4933,3.9623,43958,1770973327.713
238,-1885.4961,3.0029,44054,1770973327.746
239,-1885.4733,0.0229,43978,1770973327.782
240,-1883.3871,2.0862,44033,1770973327.82
241,-1876.3824,7.0047,44050,1770973327.863
242,-1877.3489,0.9665,43933,1770973327.898
243,-1882.2973,4.9484,43966,1770973327.929
244,-1885.3617,3.0644,44018,1770973327.962
245,-1889.3132,3.9515,44086,1770973327.994
246,-1885.1726,4.1406,43978,1770973328.034
247,-1890.2040,5.0313,44069,1770973328.065
248,-1883.1537,7.0503,44102,1770973328.108
249,-1883.0533,0.1004,43990,1770973328.144
250,-1883.0583,0.0050,44006,1770973328.181
251,-1877.9464,5.1119,44042,1770973328.222
252,-1883.8766,5.9302,44098,1770973328.252
253,-1890.8572,6.9807,43893,1770973328.281
254,-1883.8081,7.0491,44030,1770973328.325
255,-1879.6966,4.1115,43986,1770973328.364
256,-1877.5687,2.1279,43974,1770973328.402
257,-1879.5059,1.9372,44017,1770973328.436
258,-1876.4515,3.0544,44010,1770973328.475
259,-1886.3578,9.9063,43986,1770973328.501
260,-1878.2716,8.0862,43914,1770973328.545
261,-1882.2372,3.9656,43917,1770973328.577
262,-1863.1244,19.1128,43890,1770973328.632
263,-1878.9976,15.8732,43982,1770973328.652
264,-1876.9042,2.0933,43818,1770973328.691
265,-1880.7552,3.8509,43874,1770973328.723
266,-1876.6375,4.1177,43874,1770973328.763
267,-1864.5403,12.0971,43858,1770973328.811
268,-1886.4574,21.9171,43874,1770973328.825
269,-1881.4397,5.0178,43898,1770973328.866
270,-1883.3470,1.9073,43962,1770973328.9
271,-1875.2496,8.0974,43978,1770973328.944
272,-1871.1996,4.0500,44006,1770973328.984
273,-1879.1561,7.9565,43954,1770973329.012
274,-1882.0767,2.9206,43942,1770973329.045
275,-1881.0282,1.0486,44010,1770973329.082
276,-1872.8456,8.1825,43926,1770973329.126
277,-1882.7181,9.8724,44021,1770973329.152
278,-1886.6987,3.9806,43974,1770973329.185
279,-1877.5899,9.1088,44000,1770973329.23
280,-1874.5365,3.0534,43970,1770973329.269
281,-1876.4939,1.9574,43953,1770973329.303
282,-1884.9227,8.4288,43922,1770973329.331
283,-1884.8426,0.0801,43902,1770973329.366
284,-1882.7474,2.0952,43942,1770973329.404
285,-1876.6792,6.0682,43914,1770973329.446
286,-1877.6612,0.9820,43934,1770973329.481
287,-1869.5450,8.1162,44021,1770973329.525
288,-1879.4794,9.9344,44022,1770973329.551
289,-1871.5315,7.9479,43946,1770973329.595
290,-1879.4036,7.8721,43950,1770973329.623
291,-1888.4199,9.0163,43888,1770973329.65
292,-1880.4066,8.0132,43942,1770973329.695
293,-1885.3040,4.8974,43949,1770973329.726
294,-1878.1397,7.1642,43962,1770973329.769
295,-1890.0449,11.9052,44021,1770973329.793
296,-1885.4482,4.5967,43926,1770973329.834
297,-1873.8286,11.6196,43962,1770973329.882
298,-1871.8016,2.0270,43946,1770973329.92
299,-1882.7534,10.9518,43926,1770973329.945
300,-1882.7436,0.0098,43946,1770973329.982
301,-1874.5844,8.1592,43898,1770973330.026
302,-1882.4458,7.8614,43874,1770973330.054
