seq,rtt_ms,inter_arrival_ms,timestamp
0,0.142,0.000,1770628374.274495
1,0.178,20.108,1770628374.294603
2,0.339,20.303,1770628374.314906
3,0.369,20.259,1770628374.335164
4,0.426,20.152,1770628374.355316
5,0.432,20.174,1770628374.375491
6,0.442,20.221,1770628374.395711
7,0.417,20.214,1770628374.415925
8,0.474,20.184,1770628374.436108
9,0.507,20.146,1770628374.456255
10,0.534,20.185,1770628374.476440
11,0.457,20.181,1770628374.496621
12,0.494,20.313,1770628374.516935
13,0.492,20.201,1770628374.537136
14,0.484,20.131,1770628374.557267
15,0.431,20.111,1770628374.577378
16,0.598,20.379,1770628374.597757
17,0.546,20.224,1770628374.617981
18,0.479,20.160,1770628374.638141
19,0.479,20.140,1770628374.658282
20,0.534,20.188,1770628374.678469
21,0.550,20.263,1770628374.698732
22,0.455,20.182,1770628374.718914
23,0.407,20.070,1770628374.738984
24,0.493,20.316,1770628374.759300
25,0.496,20.139,1770628374.779438
26,0.541,20.283,1770628374.799721
27,0.431,20.178,1770628374.819899
28,0.297,20.106,1770628374.840005
29,0.360,20.168,1770628374.860173
30,0.434,20.223,1770628374.880395
31,0.225,19.877,1770628374.900273
32,0.455,20.470,1770628374.920743
33,0.448,20.126,1770628374.940869
34,0.312,19.968,1770628374.960837
35,0.354,20.238,1770628374.981075
36,0.410,20.168,1770628375.001243
37,0.437,20.258,1770628375.021502
38,0.461,20.252,1770628375.041754
39,0.416,20.198,1770628375.061952
40,0.470,20.159,1770628375.082112
41,0.506,20.150,1770628375.102262
42,0.596,20.357,1770628375.122619
43,0.506,20.122,1770628375.142740
44,0.510,20.138,1770628375.162878
45,0.403,20.138,1770628375.183016
46,0.496,20.317,1770628375.203333
47,0.506,20.252,1770628375.223585
48,0.450,20.169,1770628375.243754
49,0.451,20.169,1770628375.263922
50,0.521,20.193,1770628375.284115
51,0.322,19.894,1770628375.304009
52,0.386,20.272,1770628375.324281
53,0.355,20.100,1770628375.344380
54,0.372,20.126,1770628375.364506
55,0.518,20.371,1770628375.384876
56,0.492,20.165,1770628375.405041
57,0.463,20.214,1770628375.425255
58,0.507,20.183,1770628375.445438
59,0.528,20.159,1770628375.465597
60,0.368,20.099,1770628375.485696
61,0.364,20.128,1770628375.505824
62,0.392,20.168,1770628375.525992
63,0.491,20.203,1770628375.546195
64,0.358,19.971,1770628375.566166
65,0.365,20.139,1770628375.586305
66,0.468,20.241,1770628375.606546
67,0.470,20.135,1770628375.626681
68,0.464,20.131,1770628375.646812
69,0.438,20.107,1770628375.666919
70,0.342,20.036,1770628375.686955
71,0.330,20.087,1770628375.707042
72,0.479,20.258,1770628375.727300
73,0.573,20.345,1770628375.747645
74,0.457,20.113,1770628375.767758
75,0.430,20.128,1770628375.787886
76,0.477,20.308,1770628375.808194
77,0.287,19.938,1770628375.828132
78,0.515,20.465,1770628375.848597
79,0.476,20.101,1770628375.868698
80,0.371,20.014,1770628375.888712
81,0.361,20.131,1770628375.908843
82,0.469,20.300,1770628375.929143
83,0.358,19.989,1770628375.949133
84,0.390,20.169,1770628375.969301
85,0.443,20.272,1770628375.989573
86,0.435,20.137,1770628376.009710
87,0.472,20.295,1770628376.030005
88,0.504,20.275,1770628376.050280
89,0.474,20.086,1770628376.070366
90,0.458,20.236,1770628376.090602
91,0.527,20.316,1770628376.110918
92,0.494,20.211,1770628376.131129
93,0.591,20.304,1770628376.151434
94,0.436,20.080,1770628376.171513
95,0.385,20.078,1770628376.191592
96,0.512,20.370,1770628376.211962
97,0.396,19.985,1770628376.231946
98,0.528,20.250,1770628376.252196
99,0.409,20.072,1770628376.272268
100,0.446,20.273,1770628376.292541
101,0.300,19.941,1770628376.312482
102,0.391,20.217,1770628376.332699
103,0.480,20.322,1770628376.353021
104,0.425,20.047,1770628376.373068
105,0.289,19.979,1770628376.393048
106,0.289,20.143,1770628376.413190
107,0.307,20.257,1770628376.433448
108,0.356,20.246,1770628376.453694
109,0.314,20.098,1770628376.473792
110,0.312,20.254,1770628376.494046
111,0.315,20.225,1770628376.514271
112,0.322,20.245,1770628376.534516
113,0.341,20.272,1770628376.554789
114,0.310,20.238,1770628376.575027
115,0.310,20.113,1770628376.595140
116,0.293,20.227,1770628376.615367
117,0.294,20.236,1770628376.635602
118,0.288,20.259,1770628376.655862
119,0.293,20.141,1770628376.676003
120,0.296,20.118,1770628376.696120
121,0.294,20.238,1770628376.716358
122,0.319,20.269,1770628376.736627
123,0.288,20.207,1770628376.756835
124,0.224,20.055,1770628376.776890
125,0.191,23.634,1770628376.800524
126,0.105,19.987,1770628376.820511
127,0.103,20.063,1770628376.840574
128,0.292,20.374,1770628376.860947
129,0.371,20.190,1770628376.881137
130,0.279,20.117,1770628376.901254
131,0.517,20.370,1770628376.921624
132,0.353,20.055,1770628376.941679
133,0.394,20.280,1770628376.961959
134,0.518,20.247,1770628376.982207
135,0.230,19.801,1770628377.002007
136,0.255,20.136,1770628377.022144
137,0.486,20.501,1770628377.042644
138,0.503,20.256,1770628377.062900
139,0.472,20.177,1770628377.083077
140,0.459,20.167,1770628377.103244
141,0.427,20.203,1770628377.123447
142,0.462,20.263,1770628377.143710
143,0.484,20.266,1770628377.163976
144,0.423,20.197,1770628377.184173
145,0.470,20.311,1770628377.204484
146,0.551,20.217,1770628377.224702
147,0.481,20.163,1770628377.244865
148,0.469,20.252,1770628377.265117
149,0.465,20.231,1770628377.285348
150,0.567,20.238,1770628377.305586
151,0.241,19.772,1770628377.325358
152,0.456,20.346,1770628377.345704
153,0.463,20.243,1770628377.365947
154,0.495,20.167,1770628377.386114
155,0.452,20.191,1770628377.406305
156,0.409,20.069,1770628377.426375
157,0.500,20.223,1770628377.446598
158,0.402,20.132,1770628377.466730
159,0.433,20.273,1770628377.487003
160,0.413,20.120,1770628377.507123
161,0.538,20.365,1770628377.527488
162,0.534,20.237,1770628377.547725
163,0.472,20.205,1770628377.567930
164,0.504,20.272,1770628377.588202
165,0.503,20.112,1770628377.608313
166,0.537,20.148,1770628377.628462
