seq,rtt_ms,status,timestamp
0,0.330,OK,1770628005.569621
1,0.344,OK,1770628005.589842
2,0.394,OK,1770628005.609999
3,0.397,OK,1770628005.630235
4,0.497,OK,1770628005.650445
5,0.520,OK,1770628005.670591
6,0.442,OK,1770628005.690645
7,0.456,OK,1770628005.710922
8,0.434,OK,1770628005.731010
9,0.424,OK,1770628005.751209
10,0.324,OK,1770628005.771330
11,0.453,OK,1770628005.791608
12,0.456,OK,1770628005.811744
13,0.430,OK,1770628005.831917
14,0.377,OK,1770628005.851991
15,0.405,OK,1770628005.872243
16,0.407,OK,1770628005.892364
17,0.504,OK,1770628005.912607
18,0.423,OK,1770628005.932664
19,0.405,OK,1770628005.952881
20,0.407,OK,1770628005.972991
21,0.188,OK,1770628005.992852
22,0.350,OK,1770628006.013219
23,0.386,OK,1770628006.033385
24,0.457,OK,1770628006.053599
25,0.492,OK,1770628006.073875
26,0.416,OK,1770628006.094041
27,0.444,OK,1770628006.114307
28,0.436,OK,1770628006.134464
29,0.366,OK,1770628006.154528
30,0.443,OK,1770628006.174744
31,0.362,OK,1770628006.194889
32,0.364,OK,1770628006.215119
33,0.407,OK,1770628006.235283
34,0.447,OK,1770628006.255442
35,0.455,OK,1770628006.275682
36,0.435,OK,1770628006.295793
37,0.370,OK,1770628006.315955
38,0.404,OK,1770628006.336235
39,0.486,OK,1770628006.356437
40,0.499,OK,1770628006.376577
41,0.497,OK,1770628006.396828
42,0.439,OK,1770628006.417012
43,0.287,OK,1770628006.436956
44,0.355,OK,1770628006.457127
45,0.246,OK,1770628006.477118
46,0.360,OK,1770628006.497355
47,0.313,OK,1770628006.517426
48,0.397,OK,1770628006.537737
49,0.380,OK,1770628006.557837
50,0.404,OK,1770628006.578094
51,0.415,OK,1770628006.598315
52,0.528,OK,1770628006.618666
53,0.420,OK,1770628006.638792
54,0.435,OK,1770628006.658914
55,0.346,OK,1770628006.678927
56,0.387,OK,1770628006.699070
57,0.399,OK,1770628006.719309
58,0.516,OK,1770628006.739565
59,0.260,OK,1770628006.759393
60,0.331,OK,1770628006.779670
61,0.315,OK,1770628006.799858
62,0.241,OK,1770628006.819875
63,0.290,OK,1770628006.840008
64,0.428,OK,1770628006.860332
65,0.341,OK,1770628006.880376
66,0.335,OK,1770628006.900467
