seq,rtt_ms,status,timestamp
0,-1.000,LOST,1770627944.115730
1,-1.000,LOST,1770627944.622333
2,-1.000,LOST,1770627945.128102
3,-1.000,LOST,1770627945.633444
4,-1.000,LOST,1770627946.139504
5,-1.000,LOST,1770627946.642696
6,-1.000,LOST,1770627947.146771
7,-1.000,LOST,1770627947.649877
8,-1.000,LOST,1770627948.153976
9,-1.000,LOST,1770627948.658161
10,-1.000,LOST,1770627949.162430
11,-1.000,LOST,1770627949.666627
12,-1.000,LOST,1770627950.170789
13,-1.000,LOST,1770627950.675028
14,-1.000,LOST,1770627951.179307
15,-1.000,LOST,1770627951.683202
16,-1.000,LOST,1770627952.187295
17,-1.000,LOST,1770627952.691484
18,-1.000,LOST,1770627953.195642
19,-1.000,LOST,1770627953.699606
20,-1.000,LOST,1770627954.203705
21,-1.000,LOST,1770627954.707903
22,-1.000,LOST,1770627955.212049
23,-1.000,LOST,1770627955.716284
24,-1.000,LOST,1770627956.220351
25,-1.000,LOST,1770627956.724531
26,-1.000,LOST,1770627957.229081
27,-1.000,LOST,1770627957.733321
28,-1.000,LOST,1770627958.237473
29,-1.000,LOST,1770627958.741311
